Unnamed: 0,ticker,date,c_x,change,v,change3,change4,change5,change6,change7,change8,change9,change10,change11,change12,change13,change14,h_y,v_y,oneminvol_y,stddev,count,day_ratio_15,lo_breakout,Predictions_change3
838,GME,2021-05-06,161.01,3.2856784,2965476,0,-6.527545,5.55245,3.3910937,13.346997,17.50823,11.160797,8.633004,11.322278,17.04863,34.842556,54.325817,0,1,0,378.43448,101777,8,13.0,0.35926956
320,CLSK,2021-05-06,18.23,0.3131524,1739224,0,-12.945694,-15.798135,-13.713658,-18.321447,-11.35491,-18.10203,-9.818979,-9.983543,-12.506857,-13.878222,-5.3757544,0,10,3,456.97128,18206,9,10.0,0.3577618
838,FEYE,2021-05-06,19.08,0.31039834,3226390,0,4.6645703,5.0838575,8.490566,8.752621,11.215933,8.595387,13.836478,15.880503,18.396227,17.872118,16.352201,0,1,2,2556.2495,25014,12,5.0,0.3573289
513,ZM,2021-05-06,293.05,-0.8031184,3369082,0,1.1875106,1.2148098,5.50418,6.435762,9.9641695,6.2992663,11.226753,12.421088,10.571575,11.076608,12.4245,0,1,0,619.3208,78083,6,17.0,0.35696536
838,AR,2021-05-06,10.48,0.86455333,6429995,0,12.59542,6.9656487,13.645039,20.992367,22.232824,23.950382,25.858778,25.954199,22.805344,22.614504,21.564886,0,0,0,3303.3872,37490,3,13.0,0.3568433
633,ACB,2021-05-06,8.46,0.0,4680030,0,-3.3096926,-6.973995,-16.07565,-16.312057,-11.820331,-14.420804,-12.293144,-9.219858,-9.4562645,-2.8368795,2.245863,0,4,0,1470.9382,30033,10,4.0,0.35602564
838,AHT,2021-05-06,2.52,-1.048951,25081113,1,15.873015,9.126985,12.698413,29.36508,34.920635,23.412699,25.793652,26.587301,30.15873,44.84127,50.79365,0,0,0,2892.7104,46927,7,10.0,0.35579273
170,XPEV,2021-05-06,26.38,0.750268,18491695,0,-2.691433,-2.6535254,-1.4783927,0.8339651,5.3070507,5.648218,11.3722515,10.955269,11.978772,15.542077,21.531464,0,14,1,2059.9675,118755,7,15.0,0.3552271
838,DVN,2021-05-06,25.27,0.2774475,11325354,0,6.9252076,1.6620499,4.4717054,8.231104,8.587257,1.3850416,0.514444,2.8492284,3.2053819,4.432133,4.827859,0,0,0,4675.1714,72959,2,24.0,0.3551681
838,UAL,2021-05-06,53.05,0.9386146,10524357,0,0.056550425,-0.60320455,4.6371346,6.936852,8.859567,6.0697455,5.5607915,5.5042415,6.2016964,11.762488,10.1413765,0,0,0,1283.9408,79169,8,9.0,0.35438555
412,SDC,2021-05-06,8.21,2.3894863,6686959,0,-1.4616321,-3.5322778,-3.2886724,-1.3398294,-0.12180268,-1.3398294,0.0,1.3398294,-0.73081607,-1.8270402,0.0,0,0,0,4222.8706,32286,5,33.0,0.3534071
838,VRAY,2021-05-06,4.78,1.6666666,2722621,0,8.786611,7.112971,9.414226,14.225942,17.991632,16.317991,17.782427,24.058577,26.987448,27.405857,24.267782,0,27,11,2736.2449,15488,5,48.0,0.35274708
838,NOG,2021-05-06,15.25,-0.5050505,1012914,0,12.262295,7.2131147,5.967213,10.229508,17.049181,11.934426,11.4754095,11.934426,15.737705,16.0,15.147541,0,0,0,763.32837,7723,4,18.0,0.35236305
838,BBBY,2021-05-06,24.91,2.911029,4353528,0,0.64231235,-2.5291047,0.923324,3.8940184,3.091128,-0.923324,-1.5254917,-1.4050583,-1.8867924,-1.2444801,8.269772,0,1,1,1496.7042,30206,29,24.0,0.35198158
838,NNDM,2021-05-06,6.48,-1.1644833,21348360,0,-3.8580246,-4.9382715,-2.6234567,-1.8518518,3.5493827,-2.006173,1.0802469,-0.15432099,1.6975309,2.4691358,14.660494,0,6,1,1230.0338,85806,6,15.0,0.3517562
838,TSLA,2021-05-06,663.54,1.5023698,27775609,0,-6.4999847,-8.602345,-10.650451,-11.12367,-10.141062,-14.668294,-11.256292,-10.076258,-7.3936763,-7.4675226,-5.6319137,0,1,0,965.5747,714569,3,6.0,0.3510744
152,CRSR,2021-05-06,32.78,-0.8526904,1617489,0,-1.1897498,-2.8370957,-2.8981087,-1.2812691,1.3727883,-1.8303844,-0.82367295,-1.0982306,-2.3794997,-2.410006,-0.24405125,0,0,1,641.24585,22222,3,68.0,0.3510002
174,NNOX,2021-05-06,29.64,1.8367347,1548666,0,-17.948717,-21.82861,-24.797571,-25.101215,-13.967611,-20.276653,-16.464237,-14.541161,-19.838057,-21.356276,-18.016193,0,1,6,328.17905,18979,63,10.0,0.34986436
838,DDD,2021-05-06,18.42,0.47293746,3594390,1,28.393051,22.90988,21.55266,29.478827,43.593918,37.07926,39.95657,51.194355,54.885994,56.297504,62.214985,0,9,0,2542.7737,30088,8,41.0,0.34981716
